game_name,reviews_like_rate,all_reviews_number,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads
Mind Scanners,81,825,"20 May, 2021",The Outer Zone,"Management, 2D, Simulation, RPG, Strategy","win, mac","English, French, German, Danish, Russian, Simplified Chinese, Polish",8.99,"Single-player, Steam Achievements, Remote Play on Tablet, Family Sharing",17,3.81,4,8,781600
Rebecca and the Sword of Nasty Curses,74,31,"16 May, 2025",キラ☆タマ,"Sexual Content, Adventure, RPG",win,"English, Japanese, Simplified Chinese, Traditional Chinese",9.89,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,2.53,2,3,3000
I Am Your Beast,98,3461,"10 Sep, 2024",Strange Scaffold,"FPS, Action",win,English,10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.33,3,9,177000
Who is Abby,86,52,"21 Aug, 2024",CyberFlux Games,"Puzzle, Adventure, Simulation",win,English,10.99,"Single-player, Steam Achievements, HDR available, Family Sharing",13,3.44,1,10,1800
Lilia: The Fallen Flower in the Prison City,72,80,"22 Mar, 2025",Acerola,"Sexual Content, Anime, JRPG",win,"English, Japanese, Simplified Chinese",10.49,"Single-player, Steam Cloud, Family Sharing",17,2.86,1,5,7400
Reventure,95,7833,"4 Jun, 2019",Pixelatto,"Adventure, Pixel Graphics, 2D, Platformer",win,"English, Spanish - Spain, Simplified Chinese, German, Japanese, French, Korean, Spanish - Latin America, Polish, Portuguese - Portugal, Portuguese - Brazil, Turkish, Russian, Italian",0.89,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.47,3,12,1130000
Ricochet,81,4338,"1 Nov, 2000",Valve,"Action, FPS","win, mac, linux","English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",2.99,"Online PvP, Family Sharing",0,3.0,3,5,9780000
LumineNight,86,172,"29 Nov, 2024",Spickasoft,"Adventure, Story Rich",win,"English, Korean, Spanish - Spain, Japanese, Russian, Simplified Chinese, Traditional Chinese",12.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.29,1,13,7000
The Last Visit: 98th,92,50,"20 May, 2025",Aktamia Games,"Horror, Simulation",win,"English, French, German, Spanish - Spain, Traditional Chinese, Simplified Chinese, Korean, Russian, Japanese",3.59,"Single-player, Steam Achievements, Family Sharing",17,3.87,2,1,1800
Music Band Manager,52,338,"7 Dec, 2017",Hamsters Gaming,"Simulation, Management, Strategy",win,"English, Russian, French, Portuguese - Brazil, Turkish, Portuguese - Portugal, German",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,1.68,2,2,50700
Plan B: Terraform,91,2353,"15 Feb, 2023",Gaddy Games,"Early Access, Automation, Management",win,"English, French, German, Japanese, Korean, Russian, Simplified Chinese, Portuguese - Brazil, Spanish - Spain, Italian, Czech, Polish, Thai, Turkish, Ukrainian, Traditional Chinese",8.49,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",0,3.11,4,37,156500
Smart Factory Tycoon,70,155,"26 Mar, 2022",Turquoise Revival Games,"Simulation, Strategy, Management",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Turkish",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,2.79,2,7,121300
Warrior Maiden Lecia and the Lost Fortress,89,49,"24 May, 2025",Kuroto Zakka,"Sexual Content, Action, RPG",win,"English, Japanese, Simplified Chinese",10.49,"Single-player, Steam Cloud, Family Sharing",13,3.27,3,11,5400
Survivalist,80,2125,"31 Jan, 2015",Bob,"Survival, RPG, Open World, Action",win,"English, Hungarian, Spanish - Spain, French, Russian, German, Italian, Turkish, Portuguese - Brazil",2.99,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,2.69,3,24,860600
The Incredible Adventures of Van Helsing: Final Cut,76,1834,"6 Nov, 2015",NeocoreGames,"RPG, Adventure, Action, Roguelike",win,"English, French, Italian, German, Spanish - Spain, Hungarian, Polish, Portuguese - Portugal, Russian",20.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",13,3.37,3,40,1590000
Nordhold,89,1928,"25 Mar, 2025",StunForge,"Roguelike, Building, Strategy, Management","win, mac, linux","English, German, French, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",9.99,"Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",0,3.12,4,33,161300
Mad Games Tycoon 2,93,6633,"31 May, 2023",Eggcode,"Management, Simulation","win, mac","English, German, Simplified Chinese, Turkish, French, Spanish - Spain, Portuguese - Brazil, Hungarian, Traditional Chinese, Russian, Polish, Czech, Arabic, Italian, Romanian, Japanese, Ukrainian, Spanish - Latin America, Korean, Thai",8.49,"Single-player, Online PvP, Steam Achievements, Steam Cloud, Family Sharing",0,3.8,2,65,474000
Denizen,76,685,"29 Apr, 2024",Departure Interactive,"RPG, Sandbox, Open World, Survival",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Russian, Simplified Chinese, Turkish, Portuguese - Brazil",10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,2.6,2,11,37400
The Last Clockwinder,96,630,"2 Jun, 2022",Pontoco,"Story Rich, Adventure, Management",win,"English, French, German, Japanese, Korean, Spanish - Latin America",12.49,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Captions available, Family Sharing",0,4.0,4,4,44900
Goat Simulator 3,97,9235,"15 Feb, 2024",Coffee Stain North,"Sandbox, Open World, Simulation",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",14.99,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",13,3.67,1,16,420200
The Artful Escape,92,1498,"9 Sep, 2021",Beethoven and Dinosaur,"Adventure, 2D, Simulation",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",10.59,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",10,3.32,1,6,98000
Hello Engineer: Scrap Machines Constructor,68,120,"17 Aug, 2023",tinyBuild Riga,"Crafting, Building, Sandbox, Driving, Simulation",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Ukrainian",7.99,"Single-player, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",10,1.98,3,10,14000
Doki Doki Literature Club Plus!,96,25586,"30 Jun, 2021",Team Salvato,"Horror, Visual Novel, Anime, Cute","win, mac","English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Korean, Japanese",11.24,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,3.83,1,17,900500
MudRunner VR,44,81,"23 Oct, 2024",Saber Interactive Inc.,"Adventure, Simulation, Driving, Action",win,"English, French, German, Spanish - Spain, Russian",14.39,"Single-player, Steam Achievements, VR Only, Steam Cloud, Stats, Family Sharing",0,1.49,2,6,4500
Rosewater,96,214,"27 Mar, 2025",Grundislav Games,"Adventure, 2D, Puzzle","win, mac, linux","English, German",10.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",10,4.46,1,16,10300
Loco Motive,94,660,"21 Nov, 2024",Robust Games,"Pixel Graphics, Adventure, 2D",win,"English, German",9.29,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",10,4.13,3,8,27400
Monica's Newlywed Life,89,124,"7 Sep, 2024",Acerola,"Sexual Content, JRPG, Anime, 2D",win,"English, Japanese, Simplified Chinese",2.0,"Single-player, Steam Cloud, Family Sharing",17,3.43,1,3,15000
Toziuha Night: Dracula's Revenge,83,78,"21 Mar, 2022",Danny Garay,"2D, Action, Platformer, Anime","win, linux","English, Spanish - Latin America, Portuguese - Brazil, French",2.99,"Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",13,4.33,3,1,13100
The House in Fata Morgana,94,4648,"14 May, 2016",NOVECT,"Visual Novel, Story Rich",win,"English, Japanese, Russian, Simplified Chinese, French, Italian, Korean",12.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.28,1,36,294100
Kill It With Fire 2,94,898,"16 Apr, 2024",Casey Donnellan Games LLC,"Cute, Adventure, Simulation",win,"English, French, German, Spanish - Spain, Japanese, Simplified Chinese, Portuguese - Brazil, Korean, Russian",7.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",10,4.39,2,15,59000
Deathmatch Classic,81,2304,"1 Jun, 2001",Valve,"Action, FPS","win, mac, linux","English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",2.99,"Online PvP, Shared/Split Screen PvP, Remote Play Together, Family Sharing",13,3.16,3,32,7350000
SUPERHOT,91,26264,"25 Feb, 2016",SUPERHOT Team,"Action, FPS, Management","win, mac, linux","English, French, Italian, German, Spanish - Spain, Czech, Polish, Portuguese - Brazil, Russian, Japanese, Simplified Chinese, Traditional Chinese, Hungarian, Korean, Slovak",9.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",13,3.63,3,6,4360000
Day of Defeat,88,4269,"1 May, 2003",Valve,"FPS, War, Action","win, mac, linux","English, French, German, Italian, Spanish - Spain",2.99,Family Sharing,13,3.62,3,51,7580000
XCOM®: Chimera Squad,72,19915,"24 Apr, 2020",Firaxis Games,"Strategy, Turn-Based, Tactical,",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chinese",19.99,"Single-player, Steam Achievements, Steam Workshop, Remote Play on Tablet, Family Sharing",10,3.46,4,30,2410000
Let Them Come,85,1017,"3 Oct, 2017",Tuatara Games,"Action, Building, Pixel Graphics, Shooter","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese",4.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",17,3.5,3,3,280500
Othercide,83,4092,"28 Jul, 2020",Lightbulb Crew,"Strategy, Turn-Based, Tactical, Roguelike",win,"English, French, Simplified Chinese, Traditional Chinese, German, Korean, Russian, Italian, Spanish - Spain, Japanese, Polish, Portuguese - Brazil",20.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.06,3,18,997800
Anno 2205™,69,5759,"3 Nov, 2015",Blue Byte,"Building, Strategy, Simulation",win,"English, French, German, Spanish - Spain, Polish, Russian",31.99,"Single-player, Steam Achievements, Steam Trading Cards",10,3.35,4,38,1120000
Hector: Badge of Carnage - Full Series,89,107,"28 Apr, 2011",Telltale,Adventure,"win, mac",English,7.99,"Single-player, Family Sharing",13,3.3,4,17,1110000
Sea Chronicles,85,54,"16 Apr, 2025",Madi Abdykarimov,"Adventure, Simulation",win,English,5.79,"Single-player, Steam Achievements, Family Sharing",0,3.66,2,2,1800
Painkiller: Black Edition,89,1680,"12 Apr, 2004",People Can Fly,"Action, FPS, Horror",win,"English, French, German, Spanish - Spain",7.99,Family Sharing,17,3.76,3,19,1380000
Swords & Souls: Neverseen,93,5065,"22 Jul, 2019",SoulGame Studio,"RPG, Turn-Based, Combat, Action","win, mac","English, French, German, Spanish - Spain, Simplified Chinese, Russian",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",10,3.82,3,14,790000
Melatonin,95,6516,"15 Dec, 2022",Half Asleep,"Cute, 2D","win, mac","English, French, German, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Vietnamese",7.99,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing",10,3.25,3,4,340700
Richie's Plank Experience,80,595,"13 Dec, 2017",Toast Interactive,"Simulation, Horror",win,English,7.99,"Single-player, Tracked Controller Support, VR Only, Family Sharing",10,2.67,1,1,116800
Gloomhaven,83,12705,"20 Oct, 2021",Flaming Fowl Studios,"Fantasy, Turn-Based, Combat","win, mac","English, French, German, Spanish - Spain, Polish",17.99,"Single-player, Online Co-op, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",13,3.36,4,58,738000
Loop Hero,92,32046,"4 Mar, 2021",Four Quarters,"Tactical, Roguelike, Pixel Graphics, RPG, Card Game, Management","win, mac, linux","English, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Italian, Dutch, Turkish",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.66,4,38,2200000
Starbound,90,86367,"22 Jul, 2016",Chucklefish,"Open World, Crafting, Sandbox, Survival, 2D","win, mac, linux",English,7.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing",10,3.76,3,59,9990000
Finnish Cottage Simulator,94,2225,"15 Nov, 2024",RANELA GAMES,"Early Access, Simulation",win,"English, Finnish, Polish, Portuguese - Brazil",7.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",0,3.12,2,6,89000
Lost Castle 2,77,6689,"25 Jul, 2024",Hunter Studio,"Early Access, Roguelike, Adventure",win,"English, Simplified Chinese, Traditional Chinese",7.99,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Cloud, Stats, Remote Play Together, Family Sharing",0,2.64,2,18,644900
NecroCity,40,52,"26 Oct, 2023",Shift Games,"Strategy, Building",win,"English, Spanish - Spain, Simplified Chinese, Russian, French, German, Portuguese - Brazil",9.99,"Single-player, Steam Cloud, Family Sharing",0,2.95,1,2,24100
Age of Conquest IV,81,2747,"6 Apr, 2016",Noble Master LLC,"Strategy, Turn-Based, War","win, mac, linux","English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Portugal, Turkish, Russian, Korean, Danish, Finnish, Greek, Hungarian, Portuguese - Brazil, Romanian, Japanese, Simplified Chinese, Ukrainian, Arabic, Czech, Norwegian, Thai, Traditional Chinese, Bulgarian, Dutch, Spanish - Latin America, Swedish, Vietnamese",0.0,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats, Includes level editor, Remote Play Together",0,3.38,4,40,684800
Lucky Tower Ultimate,93,1176,"13 Sep, 2024",Studio Seufz,"Early Access, Action, Roguelike, RPG",win,"English, French, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Italian",7.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,4.0,3,31,57500
BattleBlock Theater®,97,54637,"15 May, 2014",The Behemoth,"Platformer, Adventure","win, mac, linux","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Russian",7.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",10,3.99,3,24,9000000
Far Cry® 2,76,15514,"22 Oct, 2008",Ubisoft Montreal,"Open World, FPS, Action",win,"English, French, Italian, German, Spanish - Spain",7.99,"Single-player, Family Sharing",17,3.38,3,29,3560000
Hitchhiker - A Mystery Game,66,153,"15 Apr, 2021",Mad About Pandas,"Story Rich, Adventure",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Polish",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",13,2.0,3,2,64500
Dealer's Life 2,85,3651,"15 Feb, 2022",Abyte Entertainment,"Management, Simulation",win,"English, German, Spanish - Spain, Portuguese - Portugal, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Turkish, Italian, French, Korean, Russian, Thai",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,3.67,2,16,398800
9 Days,67,1397,"8 Mar, 2024",MVR,"Adventure, Action, Open World",win,English,7.99,"Single-player, Steam Achievements, Family Sharing",13,2.17,4,17,101000
Chaos Express: Delivery Simulator,81,75,"23 Jan, 2025",AVE Team,"Early Access, Management, Simulation",win,"English, German, Simplified Chinese, Russian, Spanish - Spain, Japanese, Spanish - Latin America, French, Portuguese - Brazil, Portuguese - Portugal",7.99,"Single-player, Online Co-op, Family Sharing",13,2.81,2,12,10400
Escape Dead Island,60,1136,"21 Nov, 2014",Fatshark,"Adventure, Survival, Action, Combat, Open World",win,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Polish",11.49,"Single-player, Steam Achievements, Steam Trading Cards, Remote Play on TV, Family Sharing",17,2.13,4,12,435100
The Crimson Diamond,97,504,"15 Aug, 2024",Julia Minamata,"Adventure, 2D","win, mac",English,7.99,"Single-player, Steam Achievements, Family Sharing",13,4.23,1,11,33100
Swords and Sandals Crusader Redux,59,135,"4 Nov, 2020",Whiskeybarrel Studios,"Turn-Based, Tactical, Strategy, RPG, 2D","win, mac",English,7.99,"Single-player, Family Sharing",13,4.5,5,13,29800
F.E.A.R. 3,69,6733,"21 Jun, 2011",Day 1 Studios,"FPS, Horror, Action",win,"English, French, German, Italian, Korean, Polish, Portuguese - Portugal, Russian, Spanish - Spain",19.99,"Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",17,3.13,3,11,4410000
Death Must Die,90,19543,"14 Nov, 2023",Realm Archive,"Early Access, Action, Roguelike, RPG","win, mac",English,3.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.48,3,11,1220000
Trackline Express,86,101,"18 Apr, 2024",Bubblebird Studio,"Action, Roguelike, Survival","win, mac, linux","English, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Portuguese - Portugal, Russian, Spanish - Latin America, Simplified Chinese, Traditional Chinese",7.99,"Single-player, Online Co-op, LAN Co-op, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",13,3.19,2,5,7800
The Unholy Priest,88,124,"4 Apr, 2025",Grejuva,"Early Access, Simulation, Horror",win,"English, French, Italian, German, Spanish - Spain, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Spanish - Latin America, Swedish, Thai, Turkish, Ukrainian, Vietnamese",3.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,4.2,2,12,8100
Necesse,94,14130,"12 Dec, 2019",Fair Games ApS,"Open World, Survival, Crafting, Sandbox","win, mac, linux","English, Russian, Portuguese - Brazil, German, Simplified Chinese, Czech, Japanese, Spanish - Spain, Spanish - Latin America, Traditional Chinese, French, Hungarian, Korean, Turkish, Ukrainian, Italian, Danish, Dutch, Finnish, Norwegian, Polish, Thai",7.99,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Stats, Family Sharing",10,3.85,4,40,1700000
Hylics 2,97,2617,"22 Jun, 2020",Mason Lindroth,"RPG, Turn-Based, Combat","win, mac",English,7.99,"Single-player, Family Sharing",10,4.0,4,28,210700
The Farmer Was Replaced,96,1496,"10 Feb, 2023",Timon Herzog,"Automation, Simulation, Management, Sandbox",win,English,3.99,"Single-player, Family Sharing",0,4.31,2,18,190000
Sift Heads Cartels,92,56,"2 May, 2024",Pyrozen,"Action, Adventure, Fighting, 2D",win,English,5.99,"Single-player, Family Sharing",17,3.6,1,3,3000
Hellbreach: Vegas,76,450,"14 Aug, 2024",Infinity Ape Studios,FPS,win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish, Dutch",7.99,"Single-player, Online Co-op, Steam Achievements, Stats, Family Sharing",17,2.48,2,3,77000
Out of Orbit,75,65,"20 Oct, 2023",Case Yellow Labs,"Early Access, Open World, Survival, Crafting, Adventure",win,English,6.59,"Single-player, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing",13,2.8,2,13,4800
CHAOS CODE -NEW SIGN OF CATASTROPHE-,88,224,"16 Mar, 2017",FK Digital,"Action, 2D, Fighting, Anime",win,"English, Japanese, Korean, Traditional Chinese",19.99,"Single-player, Online PvP, Shared/Split Screen PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",10,3.21,3,4,205800
Hylics,98,6096,"2 Oct, 2015",Mason Lindroth,"RPG, Turn-Based, Combat",win,English,1.99,"Single-player, Family Sharing",10,3.74,3,5,517100
Nebulock,87,313,"5 Mar, 2025",LostVolBytes,"Shooter, 2D",win,English,1.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,4.03,3,4,17000
LOOTPLOT,96,55,"22 Apr, 2025",CodeTheory Ltd,"Strategy, Roguelike, 2D","win, linux",English,3.99,"Single-player, Steam Achievements, Family Sharing",0,4.36,2,27,5800
Atomicrops,93,4567,"17 Sep, 2020",Bird Bath Games,"Action, Roguelike, Simulation, Survival",win,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Ukrainian",7.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.33,4,11,1010000
The Mr. Rabbit Magic Show,98,2768,"30 Apr, 2025",Rusty Lake,"Adventure, Puzzle","win, mac","English, French, Italian, German, Danish, Dutch, Finnish, Japanese, Korean, Polish, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Ukrainian, Vietnamese, Turkish",0.0,"Single-player, Steam Achievements",0,3.7,3,1,393100
Kingdom: New Lands,86,9586,"9 Aug, 2016",Noio,"Roguelike, Survival, Building, Strategy","win, mac, linux","English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Portuguese - Brazil, Russian, Danish, Japanese, Norwegian, Simplified Chinese, Swedish, Finnish, Korean",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",10,3.66,3,18,2640000
Who Pressed Mute on Uncle Marcus?,72,596,"18 Mar, 2022",Wales Interactive,"Adventure, Visual Novel, Story Rich","win, mac","English, French, German, Russian, Simplified Chinese, Turkish",7.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,3.25,5,18,742600
Get a midnight snack without mom knowing,92,41,"4 Apr, 2025",Studio Gimbap,"Simulation, Horror",win,"English, Japanese, Korean, Simplified Chinese, Traditional Chinese, Spanish - Spain, French, German, Portuguese - Brazil, Russian, Ukrainian, Polish, Italian, Turkish, Indonesian",1.99,"Single-player, Steam Achievements, Family Sharing",17,2.03,2,3,1300
Daymare: 1994 Sandcastle,73,637,"30 Aug, 2023",Invader Studios,"Shooter, Horror",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish",15.89,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,2.0,4,8,39400
Whispers of the Eyeless,85,84,"30 Jan, 2025",Venris,"Early Access, Roguelike, Adventure",win,"English, French, German, Simplified Chinese, Spanish - Latin America, Polish, Russian",10.49,"Single-player, Family Sharing",13,4.05,3,7,5300
Lakeview Cabin 2,96,503,"19 Oct, 2023",Roope Tamminen,"Horror, 2D, Action","win, mac",English,7.79,"Single-player, Shared/Split Screen Co-op, Remote Play Together, Family Sharing",10,3.98,2,25,42900
Moving Houses,75,190,"1 Oct, 2024",Gordon Little,"Horror, Simulation",win,"English, Italian, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese, French, German, Russian, Portuguese - Brazil",7.79,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,2.88,2,5,8800
Polylithic,70,91,"9 Nov, 2023",polyperfect,"Strategy, Simulation, Sandbox, Adventure",win,"English, Czech, French, German, Russian, Japanese",14.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,2.64,3,12,15600
Tower of Time,83,2083,"12 Apr, 2018",Event Horizon,"Tactical, Turn-Based, RPG, Fantasy","win, linux","English, German, Polish, Russian, French, Turkish, Simplified Chinese, Traditional Chinese, Italian",12.49,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Stats, Family Sharing",13,3.3,3,34,510400
They Are Coming,90,397,"30 Oct, 2023",OnHit Developments,"Early Access, Action, Roguelike, Shooter",win,"English, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Thai, Traditional Chinese, Vietnamese, Portuguese - Portugal",2.99,"Single-player, Family Sharing",13,3.24,1,14,21000
Enishia and the Binding Brand,85,703,"11 May, 2024",Shimobashira Workshop,"Sexual Content, JRPG, Anime",win,"English, Japanese, Simplified Chinese",1.3,"Single-player, Steam Cloud, Family Sharing",17,2.98,1,16,52100
The Witcher: Enhanced Edition Director's Cut,89,57567,"16 Sep, 2008",CD PROJEKT RED,"RPG, Fantasy, Story Rich","win, mac","English, French, German, Spanish - Spain, Italian, Czech, Russian, Hungarian, Polish, Traditional Chinese",7.49,"Single-player, Steam Cloud, Family Sharing",17,3.87,4,48,11510000
The Rewinder 2,50,133,"26 May, 2025",MistyMountainStudio,"Adventure, Story Rich, 2D","win, mac","English, Simplified Chinese",8.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,1.79,3,14,5900
aMAZE Frozen,75,57,"4 Apr, 2018",Blender Games,"Strategy, Puzzle, 2D",win,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Vietnamese, Greek, Danish, Simplified Chinese, Traditional Chinese, Korean, Norwegian, Dutch, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Romanian, Thai, Turkish, Hungarian, Ukrainian, Finnish, Czech, Swedish, Japanese, Spanish - Latin America, Azerbaijani, Albanian, Amharic, Assamese, Afrikaans, Basque, Bangla, Bosnian, Belarusian, Valencian, Welsh, Wolof, Armenian, Galician, Georgian, Gujarati, Hindi, Dari, Estonian, Zulu, Yoruba, Kazakh, Kannada, Catalan, Quechua, Kyrgyz, Konkani, Khmer, Xhosa, K'iche', Latvian, Lithuanian, Luxembourgish, Macedonian, Malay, Malayalam, Maltese, Maori, Marathi, Mongolian, Nepali, Odia, Punjabi (Shahmukhi), Punjabi (Gurmukhi), Persian, Kinyarwanda, Serbian, Sotho, Sinhala, Sindhi, Scots, Slovak, Slovenian, Sorani, Swahili, Tajik, Tamil, Tatar, Telugu, Tigrinya, Tswana, Turkmen, Uzbek, Uyghur, Urdu, Filipino, Hausa, Croatian, Cherokee, Hebrew, Indonesian, Irish, Icelandic, Igbo",1.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",0,2.35,2,2,161300
